,word,freq,score
0,slate,4.82279e-06,0.6201818969250757
1,sauce,6.0856700000000005e-06,0.6089216110870507
2,slice,4.15803e-06,0.6076223473365093
3,shale,8.11834e-06,0.6058899956691208
4,saute,2.1354900000000003e-07,0.6041576440017323
5,sooty,4.50082e-07,0.6019922044174968
6,share,8.3714e-05,0.6006929406669553
7,shine,4.70806e-06,0.5972282373321784
8,suite,4.89705e-06,0.5963620614984841
9,crane,3.40999e-06,0.59549588566479
10,saint,5.25338e-06,0.5933304460805544
11,soapy,3.53719e-07,0.5907319185794717
12,shone,4.112779999999999e-06,0.5872672152446947
13,saucy,4.12442e-07,0.5838025119099177
14,shire,1.2088e-06,0.5833694239930706
15,cease,1.42835e-05,0.5794716327414465
16,sense,0.000142088,0.5786054569077523
17,saner,1.55809e-07,0.5786054569077523
18,crate,1.17828e-06,0.5768731052403638
19,stale,2.06368e-06,0.5768731052403637
20,snare,1.31712e-06,0.5760069294066695
21,spree,4.4330100000000003e-07,0.5755738414898225
22,shore,2.4743e-05,0.5734084019055868
23,suave,3.46595e-07,0.5729753139887397
24,slide,1.15539e-05,0.5725422260718926
25,sorry,2.22503e-05,0.5721091381550455
26,slime,1.23333e-06,0.5721091381550455
27,shiny,2.76716e-06,0.5721091381550454
28,stare,4.8491e-06,0.5716760502381983
29,gooey,1.45799e-07,0.5712429623213513
30,brace,2.02037e-06,0.5708098744045041
31,seize,5.84674e-06,0.5690775227371156
32,sleet,6.33064e-07,0.5686444348202685
33,crone,1.89895e-07,0.5682113469034215
34,brine,2.64408e-06,0.5673451710697273
35,state,0.000407045,0.56691208315288
36,scree,1.96414e-07,0.566478995236033
37,sally,5.290379999999999e-07,0.5660459073191858
38,slant,1.252e-06,0.5656128194023387
39,shade,1.24251e-05,0.5656128194023387
40,shame,1.11421e-05,0.5651797314854915
41,space,0.000118842,0.5647466435686445
42,spare,1.12211e-05,0.5647466435686445
43,spine,8.310249999999999e-06,0.5612819402338676
44,scale,8.06135e-05,0.5608488523170203
45,trace,2.02999e-05,0.5604157644001733
46,shake,8.93585e-06,0.559549588566479
47,stone,4.96127e-05,0.5582503248159377
48,tease,1.15509e-06,0.5582503248159376
49,shape,5.18016e-05,0.5573841489822434
50,salty,1.04576e-06,0.5560848852317021
51,sassy,1.41619e-07,0.556084885231702
52,scare,2.25714e-06,0.5556517973148549
53,shave,1.2379e-06,0.5552187093980078
54,slope,1.8954e-05,0.5543525335643136
55,swine,3.68365e-06,0.5539194456474665
56,poise,9.43733e-07,0.5539194456474664
57,since,0.000276876,0.5521870939800779
58,boney,3.45674e-08,0.5504547423126895
59,sadly,4.26741e-06,0.5500216543958423
60,stole,3.89196e-06,0.5495885664789952
61,raise,3.72838e-05,0.5491554785621482
62,snore,2.78896e-07,0.548722390645301
63,arise,2.81713e-05,0.5482893027284539
64,spire,1.4236399999999998e-06,0.5474231268947597
65,spice,1.4733799999999998e-06,0.5474231268947597
66,slimy,7.64474e-07,0.5469900389779125
67,crier,2.48829e-07,0.5461238631442182
68,grace,2.3608e-05,0.5456907752273712
69,cause,0.000164419,0.5456907752273712
70,peace,7.47974e-05,0.5456907752273712
71,store,3.89175e-05,0.5443915114768298
72,sheet,3.29874e-05,0.5443915114768297
73,prone,5.78683e-06,0.5435253356431357
74,crony,1.45841e-07,0.5430922477262885
75,trice,1.6808199999999998e-07,0.5430922477262885
76,spite,2.73437e-05,0.5426591598094413
77,smile,3.04689e-05,0.5426591598094413
78,briny,1.45613e-07,0.5422260718925942
79,scone,8.98069e-08,0.5422260718925942
80,plane,3.96801e-05,0.5417929839757472
81,cagey,8.28059e-08,0.5417929839757472
82,blare,1.77647e-07,0.541792983975747
83,grate,2.14902e-06,0.5409268081420529
84,salve,4.42846e-07,0.5404937202252058
85,shady,1.75608e-06,0.5404937202252057
86,stage,8.94978e-05,0.5396275443915115
87,price,0.000140306,0.5396275443915115
88,clone,1.50943e-06,0.5391944564746644
89,prose,8.579459999999999e-06,0.5387613685578173
90,trite,6.41166e-07,0.5383282806409702
91,arose,1.67534e-05,0.5383282806409702
92,surer,6.479479999999999e-07,0.5383282806409702
93,skate,6.27592e-07,0.537895192724123
94,siege,6.13666e-06,0.537462104807276
95,spore,1.71717e-06,0.5374621048072759
96,chase,4.92439e-06,0.5374621048072759
97,sandy,9.98318e-06,0.5365959289735817
98,surly,5.50614e-07,0.5365959289735815
99,crave,1.07651e-06,0.5361628410567345
100,erase,1.43348e-06,0.5361628410567345
101,spiny,6.85766e-07,0.5361628410567345
102,scaly,8.61491e-07,0.5357297531398874
103,serve,7.0087e-05,0.5352966652230403
104,snake,5.60822e-06,0.5348635773061932
105,close,0.000132717,0.534430489389346
106,shaky,1.37832e-06,0.534430489389346
107,sunny,3.88234e-06,0.5339974014724989
108,stony,2.17697e-06,0.5331312256388048
109,smite,5.86397e-07,0.5326981377219576
110,goose,2.55894e-06,0.5326981377219576
111,sober,4.68487e-06,0.5326981377219575
112,shalt,5.50444e-06,0.5326981377219575
113,puree,3.81446e-07,0.5322650498051105
114,lease,2.77684e-05,0.5313988739714162
115,drone,9.388e-07,0.530532698137722
116,stake,8.51862e-06,0.530532698137722
117,scary,1.39514e-06,0.5305326981377219
118,safer,4.62622e-06,0.5300996102208748
119,swore,3.37477e-06,0.5300996102208748
120,spade,1.41575e-06,0.5296665223040278
121,solve,1.79596e-05,0.5296665223040278
122,brake,7.34178e-06,0.5296665223040278
